Merchant,Cleaned Name,Count,Amounts,Category
service,Service,18,"$1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42",Suspicious
support,Support,8,,Unknown
invoice+statements+acct_19oslMAeI6xzWtuT,Invoice,6,,Billing
noreply,Noreply,6,"$33.90, $33.90",Notifications
azure,Azure,4,"$0.01, $0.01, $0.01, $0.01",Suspicious
receipts+acct_1CN6KnHRxJkb56aO,Generic Receipt,4,,Billing
invoice+statements+acct_19GUtLFhpvUAmyxP,Invoice,4,,Billing
help,Help,4,"$1.12, $1.12, $1.12, $1.12",Suspicious
automatic-notifications+recovery,Automatic-Notifications,4,"$1.12, $1.12, $1.12, $1.12",Suspicious
ishoukry,Tshoukry,4,,Unknown
invoice+statements+acct_1M07hSLmdOdiMXBs,Invoice,2,,Billing
receipts+acct_1KLZG6LeeX2jf1uK,Generic Receipt,2,,Billing
bg,Bg,2,,Unknown
nadia,Nadia,2,,Unknown
donotreply,Donotreply,2,"$0.91, $0.91",Suspicious
arobb,Arobb,2,,Unknown
notifications,Notifications,2,,Notifications
noreply+109279,Noreply,2,,Notifications
billing+acct_1M07hSLmdOdiMXBs,Billing,2,,Unknown
