Merchant,Cleaned Name,Count,Amounts
service,Service,18,"$1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42, $1.42"
support,Support,8,
invoice+statements+acct_19oslMAeI6xzWtuT,Invoice,6,
noreply,Noreply,6,"$33.90, $33.90"
azure,Azure,4,"$0.01, $0.01, $0.01, $0.01"
receipts+acct_1CN6KnHRxJkb56aO,Generic Receipt,4,
invoice+statements+acct_19GUtLFhpvUAmyxP,Invoice,4,
help,Help,4,"$1.12, $1.12, $1.12, $1.12"
automatic-notifications+recovery,Automatic-Notifications,4,"$1.12, $1.12, $1.12, $1.12"
ishoukry,Tshoukry,4,
invoice+statements+acct_1M07hSLmdOdiMXBs,Invoice,2,
receipts+acct_1KLZG6LeeX2jf1uK,Generic Receipt,2,
bg,Bg,2,
nadia,Nadia,2,
donotreply,Donotreply,2,"$0.91, $0.91"
arobb,Arobb,2,
notifications,Notifications,2,
noreply+109279,Noreply,2,
billing+acct_1M07hSLmdOdiMXBs,Billing,2,
